"Status","Date","Description","Debit","Credit"
"Cleared","01/23/2017","UDEMY.COM              8888385432    CA","15.00",""
"Cleared","01/24/2017","USPS PO 4804200180     AUSTIN        TX","3.99",""
"Cleared","01/24/2017","THE HOME DEPOT #0509   AUSTIN        TX","12.43",""
"Cleared","01/25/2017","YARD HOUSE 83600083667 AUSTIN        TX","24.77",""
"Cleared","01/27/2017","TST* GENERAL TSO'BOY   AUSTIN        TX","8.66",""
"Cleared","01/27/2017","FONDA SAN MIGUEL       AUSTIN        TX","90.99",""
"Cleared","01/27/2017","IKEA ROUND ROCK        ROUND ROCK    TX","183.87",""
"Cleared","01/28/2017","JACK ALLENS KITCHEN    AUSTIN        TX","21.31",""
"Cleared","01/30/2017","ROOSTER'S PAINT & DECO ROUND ROCK    TX","67.70",""
"Cleared","01/30/2017","BLUE STARLITE MINI U   AUSTIN        TX","77.25",""
"Cleared","02/01/2017","THE HOME DEPOT #0509   AUSTIN        TX","8.81",""
"Cleared","02/02/2017","SMOKEY MOS BBQ - AUSTI AUSTIN        TX","10.55",""
"Cleared","02/02/2017","Spotify USA            New York      NY","16.08",""
"Cleared","02/02/2017","BIRDS BARBERSHOP DOMAI AUSTIN        TX","30.00",""
"Cleared","02/02/2017","STARBUCKS STORE 13331  AUSTIN        TX","5.36",""
"Cleared","02/03/2017","UDEMY.COM              8888385432    CA","15.00",""
"Cleared","02/04/2017","COST PLUS WLD #74      AUSTIN        TX","72.93",""
"Cleared","02/05/2017","SIP SAAM THAI RESTAURA AUSTIN        TX","24.68",""
"Cleared","02/05/2017","THE HOME DEPOT #0509   AUSTIN        TX","132.67",""
"Cleared","02/06/2017","USPS PO 4804200180     AUSTIN        TX","5.70",""
"Cleared","02/06/2017","PETSMART # 1244        AUSTIN        TX","88.58",""
"Cleared","02/07/2017","LOWES #01727*          AUSTIN        TX","57.29",""
"Cleared","02/07/2017","TJMAXX #0566           CEDAR PARK    TX","135.24",""
"Cleared","02/08/2017","THE HOME DEPOT #0509   AUSTIN        TX","334.46",""
"Cleared","02/08/2017","THE HOME DEPOT #0509   AUSTIN        TX","","5.71"
"Cleared","02/09/2017","THE HOME DEPOT #6839   AUSTIN        TX","38.71",""
"Cleared","02/10/2017","USPS PO 4804200180     AUSTIN        TX","2.67",""
"Cleared","02/10/2017","BAMBOO BISTRO          AUSTIN        TX","24.08",""
"Cleared","02/10/2017","ANDERSON MILL ANIMAL C AUSTIN        TX","44.00",""
"Cleared","02/10/2017","ANDERSON MILL ANIMAL C AUSTIN        TX","74.90",""
"Cleared","02/11/2017","SMOKEY MOS BBQ - AUSTI AUSTIN        TX","16.26",""
"Cleared","02/14/2017","GREEN ALLEY SALON      AUSTIN        TX","51.00",""
"Cleared","02/15/2017","GREATER AUSTIN ALLERGY 855-347-3685  TX","11.87",""
"Cleared","02/15/2017","STARBUCKS STORE 13331  AUSTIN        TX","4.60",""
"Cleared","02/16/2017","AUTOPAY 999990000055374RAUTOPAY AUTO-PMT","","3,044.88"
"Cleared","02/16/2017","CHICK-FIL-A #0923      AUSTIN        TX","6.33",""
"Cleared","02/16/2017","GATEWAY CHURCH         512-837-2162  TX","100.00",""
"Cleared","02/17/2017","VZWRLSS*APOCC VISE     800-922-0204  FL","96.36",""
"Cleared","02/17/2017","THE HOME DEPOT #6839   AUSTIN        TX","11.84",""
"Cleared","02/17/2017","THAIKUN                AUSTIN        TX","15.70",""
"Cleared","02/17/2017","ANDERSON MILL ANIMAL C AUSTIN        TX","159.30",""
"Cleared","02/18/2017","BED BATH & BEYOND #571 AUSTIN        TX","19.47",""
"Cleared","02/18/2017","SQ *SLAB BBQ & BEER    AUSTIN        TX","29.06",""
"Cleared","02/18/2017","TJMAXX #0566           CEDAR PARK    TX","77.86",""
"Cleared","02/18/2017","THE HOME DEPOT #0509   AUSTIN        TX","","111.57"
"Cleared","02/19/2017","EINSTEIN BROS BAGELS19 AUSTIN        TX","8.31",""
"Cleared","02/19/2017","RUDY'S COUNTRY STO     AUSTIN        TX","21.40",""
"Cleared","02/19/2017","TWC*TIME WARNER CABLE  888-TWCABLE   TX","73.19",""
